full_name,nick_name
NEWT,NEWTON
NICK,NIK
NICK,NICK
NICK,NICHOLAS
NORA,NORA
NORA,NONIE
OBIE,OBEDIAH
OBIE,OBIE
OSSY,OZZY
OSSY,OSSY
OTIS,OTIS
OTIS,OTE
OTIS,ODE
OZZY,OZZY
OZZY,OSWALD
PAUL,POLLY
PAUL,PAUL
PAUL,PAULA
PAUL,PAULINE
PETE,PETE
PETE,PETER
PHIL,PHIL
PHIL,PHILIP
PHIL,PHILLIP
REBA,REBA
REBA,BECK
REBA,BECCA
RICH,DICK
RICH,RICK
RICH,RICH
RICH,RICHE
RICH,RICHARD
RICK,RICK
RICK,RICKY
ROSA,ROSE
ROSA,ROSA
ROSE,ROSIE
ROSE,ROSE
RUBE,RUBE
RUBE,REUBEN
RUDY,RUDY
RUDY,RUDOLPH
RUSS,RUSS
RUSS,RUSSELL
RYAN,RYAN
RYAN,RY
TESS,TESS
TESS,TERESA
TESS,THERESA
THAD,THADDEUS
THAD,THAD
THEO,THEO
THEO,THEODORE
THOM,THOM
THOM,TOM
THOM,THOMAS
THOM,TOMMY
TINA,CHRISTINA
TINA,TINA
TONY,TONY
TONY,ANTHONY
TRIX,TRIXIE
TRIX,TRIX
WILL,BILL
WILL,WILLIE
WILL,WILBUR
WILL,WILL
WILL,FRED
ZACH,ZACHARIAH
ZACH,ZACH
AARON,ERIN
AARON,AARON
AARON,RONNIE
ABBIE,ABIGAIL
ABBIE,ABBIE
ABBIE,ABBY
ABIEL,AB
ABIEL,ABIEL
ABNER,ABNER
ABNER,AB
ABRAM,ABRAM
ABRAM,AB
ADELA,ADELA
ADELA,DELLA
ADELE,DELL
ADELE,ADELE
AGNES,AGNES
AGNES,NESSA
AGNES,AGGY
AGNES,INEZ
ALEVA,LEVE
ALEVA,LEVY
ALEVA,ALEVA
ALICE,LISA
ALICE,ALLIE
ALICE,ALICE
ALICE,ELSIE
ALINE,ALINE
ALINE,ADELINE
ALLAN,AL
ALLAN,ALLAN
ALLEN,ALLEN
ALLEN,AL
ANNIE,ANNA
ANNIE,ANNIE
ANNIE,ANN
ASAPH,ASAPH
ASAPH,ASA
BECCA,BECCA
BECCA,BECK
BELLA,BELLE
BELLA,ISABELLA
BELLA,BELLA
BELLA,ARABELLA
BENJY,BENJY
BENJY,BENJAMIN
BILLY,BILLY
BILLY,WILLIAM
BILLY,ROBERT
BILLY,FRED
BOBBY,BOBBY
BOBBY,BOB
BOBBY,ROB
BRADY,BRODY
BRADY,BRADY
BRIAN,BRYAN
BRIAN,BRYANT
BRIAN,BRIAN
CALEB,CALEB
CALEB,CAL
CAROL,CARRIE
CAROL,CAROLANN
CAROL,CAROL
CAROL,CAROLINE
CAROL,LYNN
CAROL,CAROLE
CAROL,CASSIE
CASEY,CASEY
CASEY,K.C.
CATHY,CATHERINE
CATHY,CATHY
CATHY,CATHLEEN
CATHY,KATHY
CHICK,CAROLINE
CHICK,CHARLOTTE
CHICK,CHUCK
CHICK,CHICK
CHLOE,CLO
CHLOE,CHLOE
CHRIS,CHRISTINE
CHRIS,CHRISTINA
CHRIS,CHRISTOPHER
CHRIS,CHRIS
CINDY,CINDERLLA
CINDY,CINDY
CLARA,CLARA
CLARA,CLARISSA
CLARE,CLARE
CLARE,CLARA
CLIFF,CLIFF
CLIFF,CLIFFORD
COREY,COCO
COREY,CORDY
COREY,REE
COREY,COREY
CYRUS,CYRUS
CYRUS,CY
DAISY,DAISY
DAISY,MARGARET
DANNY,DANNY
DANNY,DANIEL
DAVEY,DAVEY
DAVEY,DAVID
DAVID,DAVID
DAVID,DAVEY
DAVID,DAY
DAVID,DAVE
DEBBY,DEBBY
DEBBY,DEB
DEBRA,DEBBIE
DEBRA,DEBRA
DEBRA,DEB
DELIA,FIDELIA
DELIA,CORDELIA
DELIA,DELIA
DELIA,DELIUS
DELLA,ADELAIDE
DELLA,ADELA
DELLA,DELILAH
DELLA,DELLA
DIANA,DIANA
DIANA,DICEY
DIANA,DI
DIANA,DIDI
DIANE,DIANE
DIANE,DI
DIANE,DICEY
DIANE,DIDI
DICEY,DICIE
DICEY,DICEY
DONNY,DONALD
DONNY,DONNY
DORIS,DORA
DORIS,DORIS
DOTHA,DOTHA
DOTHA,DOTTY
EDDIE,EDDIE
EDDIE,EDDY
EDGAR,EDDY
EDGAR,ED
EDGAR,EDGAR
EDGAR,EDDIE
EDITH,EDITH
EDITH,EDIE
EDITH,EDYE
EDWIN,EDDY
EDWIN,EDDIE
EDWIN,ED
EDWIN,EDWIN
EDWIN,WIN
EDWIN,NED
EDYTH,EDYTH
EDYTH,EDIE
EDYTH,EDYE
ELENA,ELENA
ELENA,HELEN
ELIAS,ELIAS
ELIAS,LEE
ELIAS,ELI
ELIAS,LIAS
ELISA,LISA
ELISA,ELISA
ELIZA,ELIZA
ELIZA,ELIZABETH
ELLEN,ELLEN
ELLEN,NELLIE
ELLEN,HELEN
ELLEN,NELL
ELLIE,ELLY
ELLIE,ELLIE
ELSIE,ELSIE
ELSIE,ELSEY
EMILY,EMILY
EMILY,EMMY
EMILY,EMMA
EMILY,MEL
EMILY,MILLIE
ERWIN,IRWIN
ERWIN,ERWIN
FAITH,FAITH
FAITH,FAY
FLORA,FLORA
FLORA,FLORENCE
FLOYD,LLOYD
FLOYD,FLOYD
FRANK,FRANKLIN
FRANK,FRANK
FREDA,FREDA
FREDA,FRIEDA
GABBY,GABE
GABBY,GABRIELLE
GABBY,GABRIELLA
GABBY,GABBY
GEOFF,GEOFFREY
GEOFF,GEOFF
GEOFF,JEFF
GEOFF,JEFFREY
GERRY,GERRY
GERRY,GERALD
GERRY,JERRY
GERRY,GERALDINE
HARRY,HENRY
HARRY,HARRY
HARRY,HAROLD
HELEN,ELLEN
HELEN,ELLIE
HELEN,LENA
HELEN,HELEN
HELEN,ELLA
HENRY,HARRY
HENRY,HAL
HENRY,HENRY
HENRY,HANK
HIRAM,HIRAM
HIRAM,HY
HOSEA,HOSEA
HOSEA,HOSIE
HOSEA,HOSEY
INDIA,INDIA
INDIA,INDIE
INDIA,INDY
IRENE,IRENE
IRENE,RENA
IRVIN,IRVIN
IRVIN,IRVING
IRWIN,ERWIN
IRWIN,IRWIN
ISAAC,ISAAC
ISAAC,IKE
ISAAC,ZEKE
JACOB,JAKE
JACOB,JAY
JACOB,JAAP
JACOB,JACOB
JAMES,JIMMY
JAMES,JAMIE
JAMES,JIM
JAMES,JIMMIE
JAMES,JAMES
JAMES,JEM
JAMIE,JAMIE
JAMIE,JAMES
JANET,JESSIE
JANET,JANET
JANET,JAN
JAYME,JAY
JAYME,JAYME
JENNY,JENNY
JENNY,JENNIFER
JERRY,JERRY
JERRY,JEREME
JERRY,GERALDINE
JINCY,JINCY
JINCY,JANE
JINSY,JINSY
JINSY,JANE
JOANN,JOANN
JOANN,JO
JOSEY,JOSEY
JOSEY,JOSOPHINE
JOYCE,JOY
JOYCE,JOYCE
JUDAH,JUDE
JUDAH,JUDER
JUDAH,JUDAH
JULIA,JILL
JULIA,JULIE
JULIA,JULIA
JULIE,JULE
JULIE,JULIA
JULIE,JULIE
KASEY,K.C.
KASEY,KASEY
KAYLA,KAY
KAYLA,KAYLA
KENNY,KEN
KENNY,KENNETH
KENNY,KENNY
LARRY,LAWRENCE
LARRY,LAURENCE
LARRY,LARRY
LEROY,L.R.
LEROY,LEE
LEROY,LEROY
LEROY,ROY
LIDIA,LYDDY
LIDIA,LIDIA
LILLY,LILLY
LILLY,LILY
LINDA,LYNN
LINDA,LINDY
LINDA,LINDA
LINDY,LINDY
LINDY,LYNN
LOTTA,LOTTA
LOTTA,LOTTIE
LOUIS,LOUIE
LOUIS,LOUISE
LOUIS,LOU
LOUIS,LOUIS
LOUIS,LEWIS
LUCAS,LUCAS
LUCAS,LUKE
LUCIA,LUCY
LUCIA,LUCIA
LUCIA,LUCIUS
LYDIA,LYDDY
LYDIA,LYDIA
MABEL,MABEL
MABEL,MEHITABEL
MABEL,AMABEL
MADDY,MADGE
MADDY,MADELYN
MADDY,MADDY
MADDY,MADELINE
MADIE,MADELYN
MADIE,MADELINE
MADIE,MADIE
MANDA,MANDY
MANDA,MANDA
MANDY,AMANDA
MANDY,MANDY
MANNY,MANUEL
MANNY,MANNY
MARGE,MARGERY
MARGE,MARGARET
MARGE,MARGARETTA
MARGE,MARGE
MARGY,MARJORIE
MARGY,MARGY
MARIE,MARIE
MARIE,MAE
MEGAN,MEG
MEGAN,MEGAN
MISSY,MELISSA
MISSY,MISSY
MITCH,MITCHELL
MITCH,MITCH
MITZI,MITTY
MITZI,MITTIE
MITZI,MARY
MITZI,MITZI
MONET,NETTIE
MONET,MONET
MONTY,MONTY
MONTY,LAMONT
MOSES,MOSES
MOSES,MOSE
MOSES,AMOS
MOSES,MOSS
NANCY,ANN
NANCY,NAN
NANCY,NANCY
NANCY,NANNY
NAOMI,OMI
NAOMI,NAOMI
NELLE,NELLE
NELLE,NELLY
ODELL,ODELL
ODELL,ODO
OLIVE,LIVIA
OLIVE,NOLLIE
OLIVE,OLIVE
OLIVE,OLLIE
OLLIE,OLIVER
OLLIE,OLLIE
PATSY,PATSY
PATSY,PATTY
PATTY,PATTY
PATTY,PATRICIA
PAULA,POLLY
PAULA,PAULA
PAULA,LINA
PETER,PETER
PETER,PATE
PETER,PETE
PRUDY,PRUDENCE
PRUDY,PRUDY
RHODA,RHODA
RHODA,RODIE
RHYNA,RHYNA
RHYNA,RHYNIE
RICKY,RICH
RICKY,RICKY
RICKY,DICK
ROGER,ROGER
ROGER,ROBBY
ROGER,RUPERT
ROGER,ROBIN
ROGER,ROD
ROGER,ROGE
ROGER,BOBBY
ROGER,HODGE
RONNY,RONNY
RONNY,RONALD
RUSTY,RUSSELL
RUSTY,RUSTY
SAMMY,SAMUEL
SAMMY,SAMMY
SANDY,SANDY
SANDY,SANDRA
SARAH,SARAH
SARAH,SALLY
SARAH,SADIE
SCOTT,SCOTT
SCOTT,SQUAT
SCOTT,SCOTTIE
SCOTT,SCEETER
SCOTT,SCOTTY
SELMA,SELMA
SELMA,ANSELM
SILAS,SI
SILAS,SILAS
SIMON,SI
SIMON,SIMON
SIMON,SION
SMITH,SMITTY
SMITH,SMITH
STEVE,STEVEN
STEVE,STEVE
STEVE,STEPHEN
SULLY,SULLIVAN
SULLY,SULLY
SUSAN,SUSIE
SUSAN,SUZIE
SUSAN,SUE
SUSAN,HANNAH
SUSAN,SUSAN
SUSAN,SUKEY
SUSIE,SUSIE
SUSIE,SUZIE
TABBY,TABITHA
TABBY,TABBY
TASHA,TASHIE
TASHA,TASHA
TASHA,TASH
TERRY,TERENCE
TERRY,TERRY
TESSA,TERESA
TESSA,TESSA
TESSA,THERESA
TIMMY,TIMMY
TIMMY,TIMOTHY
TOMMY,TOMMY
TOMMY,THOMAS
TRUDY,GERTRUDE
TRUDY,TRUDY
UNICE,UNICE
UNICE,NICIE
UNICE,EUNICE
URIAH,URIAH
URIAH,RIAH
VICKI,VICKI
VICKI,VICKY
VICKI,VICTORIA
VICKY,VICKY
VICKY,VICTORIA
VINCE,VINCE
VINCE,VINNIE
VIOLA,VIOLA
VIOLA,VI
VIOLA,OLA
WALDO,OZZY
WALDO,OSSY
WALDO,WALDO
WALLY,WALT
WALLY,WALLY
WENDY,WEN
WENDY,WENDY
WILDA,WILLIE
WILDA,WILDA
WILMA,BILLIEWILHELM
WILMA,WILLIAM
WILMA,WILMA
WINNY,WINNY
WINNY,WINNIFRED
YEONA,ONA
YEONA,ONIE
YEONA,YEONA
YULAN,YUL
YULAN,LAN
YULAN,YULAN
ABIJAH,BIGE
ABIJAH,AB
ABIJAH,ABIJAH
ADRIAN,ADRIAN
ADRIAN,RIAN
AGATHA,AGATHA
AGATHA,AGGY
AILEEN,AILEEN
AILEEN,LENA
AILEEN,ALLIE
ALBERT,ALBERT
ALBERT,AL
ALBERT,BERT
ALEXIS,ALEXIS
ALEXIS,LEXI
ALFRED,AL
ALFRED,FREDDY
ALFRED,ALFRED
ALFRED,FRED
ALICIA,ELSIE
ALICIA,ALLIE
ALICIA,LISA
ALICIA,ALICIA
ALISON,ALISON
ALISON,ALI
ALMENA,ALLIE
ALMENA,MENA
ALMENA,ALMENA
ALMINA,MINNIE
ALMINA,ALMINA
ALMIRA,MYRA
ALMIRA,ALMIRA
ALONZO,ALONZO
ALONZO,AL
ALONZO,LONZO
ALONZO,LON
ALYSSA,ALLY
ALYSSA,LISSIA
ALYSSA,ALYSSA
ALYSSA,AL
ALZADA,ALZADA
ALZADA,ZADA
AMANDA,AMANDA
AMANDA,MANDA
AMANDA,MANDY
AMELIA,AMELIA
AMELIA,AMY
AMELIA,MEL
AMELIA,EMILY
AMELIA,MILLIE
ANDREA,ANDREA
ANDREA,REA
ANDREA,DREA
ANDREA,ANDREW
ANDREW,ANDREW
ANDREW,DREW
ANDREW,ANDY
ANGELA,ANGELA
ANGELA,ANGELICA
ANGELA,JANE
ANGELA,ANGELINA
ANGELA,ANGEL
ANGELA,ANGIE
ANGELA,ANGELINE
ANSELM,ANSEL
ANSELM,ANSELM
ANSELM,SELMA
ANSELM,ANCE
ANSELM,ANSE
ARLENE,LENA
ARLENE,ARLENE
ARLENE,ARLY
ARMENA,ARMENA
ARMENA,MENA
ARMENA,ARRY
ARNOLD,ARNOLD
ARNOLD,ARNIE
ARTHUR,ART
ARTHUR,ARTHUR
ARZADA,ZADDI
ARZADA,ARZADA
ASAHEL,ASA
ASAHEL,ASAHEL
AUBREY,BREE
AUBREY,AUBREY
AUDREY,DEE
AUDREY,AUDREY
AUGUST,AUGUST
AUGUST,GUS
BARBIE,BARBIE
BARBIE,BARBARA
BARNEY,BARNEY
BARNEY,BARNABAS
BERNEY,BERNIE
BERNEY,BERNEY
BERTHA,BERTHA
BERTHA,BIRDIE
BERTHA,BERT
BERTHA,BERTIE
BIDDIE,BIDDY
BIDDIE,BIDDIE
BRENDA,BRENDA
BRENDA,BRANDY
CALVIN,CALVIN
CALVIN,VIN
CALVIN,VINNY
CALVIN,CAL
CARMON,CAMMIE
CARMON,CHARM
CARMON,CARM
CARMON,CARMON
CARRIE,CARRIE
CARRIE,CASSIE
CASPER,JASPER
CASPER,CASPER
CASSIE,CASSANDRA
CASSIE,CASSIE
CEDRIC,CEDRIC
CEDRIC,RICK
CEDRIC,CED
CEDRIC,RICKY
CHERYL,SHERYL
CHERYL,CHERYL
CICELY,CICELY
CICELY,CILLA
CLAIRE,CLARE
CLAIRE,CLAIRE
CLAIRE,CLAIR
CLAIRE,CLARA
CONRAD,CON
CONRAD,CONNY
CONRAD,CONRAD
CURTIS,CURTIS
CURTIS,CURT
DALTON,DAHL
DALTON,DALTON
DANIEL,DAN
DANIEL,DANNY
DANIEL,DANIEL
DAPHNE,DAPH
DAPHNE,DAPHIE
DAPHNE,DAPHNE
DEANNE,DEANNE
DEANNE,DEE
DEANNE,ANN
DEBBIE,DEBBIE
DEBBIE,DEB
DEBBIE,DEBBY
DEBBIE,DEBRA
DEBBIE,DEBORAH
DEBORA,DEBBIE
DEBORA,DEB
DEBORA,DEBBY
DEBORA,DEBORA
DEIDRE,DEEDEE
DEIDRE,DEIDRE
DELPHA,DELPHA
DELPHA,PHILADELPHIA
DENISE,DENNIS
DENISE,DENISE
DENNIS,DENNIS
DENNIS,DENNY
DONALD,DONY
DONALD,DONALD
DONALD,DONNIE
DONALD,DONNY
DONALD,DON
DONNIE,DONALD
DONNIE,DONNIE
DONNIE,DONNY
DORCUS,DARKEY
DORCUS,DORCUS
DUNCAN,DUNK
DUNCAN,DUNCAN
EDMOND,EDDIE
EDMOND,ED
EDMOND,EDMOND
EDMOND,EDDY
EDMUND,EDMUND
EDMUND,EDDIE
EDMUND,ED
EDMUND,NED
EDMUND,TED
EDMUND,EDDY
EDWARD,ED
EDWARD,NED
EDWARD,EDDIE
EDWARD,EDWARD
EDWARD,EDDY
EDWARD,TED
EDWARD,TEDDY
EDWINA,EDWIN
EDWINA,EDWINA
EDYTHE,EDYTHE
EDYTHE,EDYE
EDYTHE,EDIE
EGBERT,BERT
EGBERT,BURT
EGBERT,EGBERT
EIGHTA,ATHY
EIGHTA,EIGHTA
EILEEN,EILEEN
EILEEN,HELEN
ELAINE,ELAINE
ELAINE,LAINIE
ELAINE,HELEN
ELBERT,ALBERT
ELBERT,ELBERT
ELIJAH,ELIJAH
ELIJAH,LIGE
ELIJAH,ELI
ELISHA,ELI
ELISHA,ELISHA
ELISHA,LISH
ELMIRA,ELLIE
ELMIRA,ELLY
ELMIRA,MIRA
ELMIRA,ELMIRA
ELNORA,ELNORA
ELNORA,NORA
ELOISE,LOUISE
ELOISE,HELOISE
ELOISE,ELOISE
ELVIRA,ELVIE
ELVIRA,ELVIRA
ELWOOD,ELWOOD
ELWOOD,WOODY
ELYSIA,ELYSIA
ELYSIA,LISA
ERNEST,ERNIE
ERNEST,ERNEST
ESTHER,ESTHER
ESTHER,ESSIE
ESTHER,HESTER
EUDICY,DICEY
EUDICY,EUDICY
EUDORA,EUDORA
EUDORA,DORA
EUGENE,EUGENE
EUGENE,GENE
EUNICE,EUNICE
EUNICE,NICIE
EVELYN,EV
EVELYN,EVELYN
EVELYN,EVE
EVELYN,EVELINA
FELTIE,FELTY
FELTIE,FELTIE
FRIEDA,FRIEDA
FRIEDA,FREDDY
FRIEDA,FRED
FRIEDA,FREDDIE
GEORGE,JORGE
GEORGE,GEORGE
GEORGE,GEORGIANA
GERALD,GERALD
GERALD,GERRY
GERALD,JERRY
GERRIE,GERRIE
GERRIE,GERALDINE
GERTIE,GERTIE
GERTIE,GERTRUDE
GLORIA,GLORIA
GLORIA,GLORY
HANNAH,NANNY
HANNAH,ANNA
HANNAH,HANNAH
HANNAH,NAN
HAROLD,HAL
HAROLD,HARRY
HAROLD,HAROLD
HELENA,NELL
HELENA,HELENA
HELENA,AILEEN
HELENA,EILEEN
HELENA,ELAINE
HELENA,NELLIE
HELENA,ELEANOR
HELENA,LENA
HELENA,ELLEN
HELENE,LENA
HELENE,HELENE
HELENE,ELLEN
HELENE,ELLA
HELENE,ELLIE
HERMAN,DUTCH
HERMAN,HERMAN
HERMAN,HARMAN
HESTER,HESSY
HESTER,ESTHER
HESTER,HETTY
HESTER,HESTER
HONORA,NORRY
HONORA,HONEY
HONORA,NORAH
HONORA,NORA
HONORA,HONORA
HORACE,HORACE
HORACE,HORRY
HOWARD,HOWARD
HOWARD,HAL
HOWARD,HOWIE
HUBERT,HUBERT
HUBERT,HUB
HUBERT,HUGH
HUBERT,BERT
IRVING,IRVING
IRVING,IRV
ISABEL,BELL
ISABEL,ISSY
ISABEL,BELLA
ISABEL,ISABEL
ISABEL,TIBBIE
ISABEL,IB
ISABEL,BELLE
ISABEL,NIBBY
ISABEL,NIB
ISAIAH,ZADIE
ISAIAH,ZAY
ISAIAH,ISAIAH
JAHODA,JAHODA
JAHODA,HODY
JAHODA,HODA
JAHODA,HODIE
JANICE,JAN
JANICE,JANICE
JASPER,JASPER
JASPER,CASPER
JASPER,JAP
JEANNE,JEANNE
JEANNE,JANE
JEANNE,JEANNIE
JEHIEL,JEHIEL
JEHIEL,HIEL
JEMIMA,MIMA
JEMIMA,JEMIMA
JENNET,JENNY
JENNET,JENNET
JENNET,JESSIE
JERITA,RITA
JERITA,JERITA
JESSIE,JANE
JESSIE,JESSIE
JESSIE,JESS
JESSIE,JANET
JOANNA,JO
JOANNA,JOAN
JOANNA,JOANNA
JOANNA,JODY
JOANNA,HANNAH
JOANNE,JO
JOANNE,JOANNE
JOSEPH,JOSEPH
JOSEPH,JOEY
JOSEPH,JOE
JOSEPH,JODY
JOSEPH,JOS
JOSHUA,JOS
JOSHUA,JOSH
JOSHUA,JOSHUA
JOSIAH,JOSIAH
JOSIAH,JOS
JUDITH,JUDY
JUDITH,JUDITH
JUDITH,JUDE
JUDITH,JUDIE
JUDITH,JUDA
JUDITH,JUDI
JUDSON,SONNY
JUDSON,JUD
JUDSON,JUDSON
JULIAN,JULIAN
JULIAN,JULE
JULIAS,JULIAS
JULIAS,JULE
JUNIOR,JR
JUNIOR,JUNE
JUNIOR,JUNIE
JUNIOR,JUNIOR
JUSTIN,JUSTIN
JUSTIN,JUSTUS
JUSTIN,JUSTINA
KENDRA,KENJI
KENDRA,KENDRA
KENDRA,KENJ
KENDRA,KAY
KENDRA,KENNY
KEZIAH,KEZIAH
KEZIAH,KIZZIE
KEZIAH,KIZZA
KRISTY,CHRIS
KRISTY,KRISTY
LAMONT,LAMONT
LAMONT,MONTY
LAUREN,LAURIE
LAUREN,LAUREN
LAUREN,REN
LAURYN,LAURIE
LAURYN,LAURYN
LAVEDA,LAVEDA
LAVEDA,VEDA
LAVINA,INA
LAVINA,LAVINA
LAVINA,VINEY
LAVINA,VINA
LEANNE,LEA
LEANNE,ANNIE
LEANNE,LEANNE
LEMUEL,LEM
LEMUEL,LEMUEL
LENORA,LEE
LENORA,NORA
LENORA,LENORA
LESLIE,LESLIE
LESLIE,LES
LESTER,LES
LESTER,LESTER
LEVICY,VICY
LEVICY,LEVICY
LEVONE,VON
LEVONE,LEVONE
LILLAH,LIL
LILLAH,LILY
LILLAH,LILLAH
LILLAH,LOLLY
LILLAH,LILLY
LIONEL,LEON
LIONEL,LIONEL
LIZZIE,ELIZABETH
LIZZIE,LIZZIE
LIZZIE,LIZ
LOUISA,ELIZA
LOUISA,LOU
LOUISA,LOUISA
LOUISA,LOIS
LOUISE,LOU
